Pool id;Agent -1;Agent 1;Scores;Steps
0;Genetic Agent #19 gen0 NN_MT3;Genetic Agent #7 gen0 NN_MT4;[2];[36]
1;Genetic Agent #11 gen1 NN_MT3;Genetic Agent #1 gen1 NN_MT4;[1];[37]
2;Genetic Agent #16 gen2 NN_MT3;Genetic Agent #6 gen2 NN_MT4;[-1];[35]
3;Genetic Agent #3 gen3 NN_MT3;Genetic Agent #4 gen3 NN_MT4;[-2];[34]
4;Genetic Agent #5 gen4 NN_MT3;Genetic Agent #7 gen4 NN_MT4;[3];[36]
5;Genetic Agent #9 gen5 NN_MT3;Genetic Agent #11 gen5 NN_MT4;[3];[36]
6;Genetic Agent #6 gen6 NN_MT3;Genetic Agent #8 gen6 NN_MT4;[3];[36]
7;Genetic Agent #0 gen7 NN_MT3;Genetic Agent #11 gen7 NN_MT4;[-2];[36]
8;Genetic Agent #2 gen8 NN_MT3;Genetic Agent #11 gen8 NN_MT4;[-2];[36]
9;Genetic Agent #14 gen9 NN_MT3;Genetic Agent #9 gen9 NN_MT4;[2];[34]
10;Genetic Agent #3 gen10 NN_MT3;Genetic Agent #6 gen10 NN_MT4;[1];[35]
11;Genetic Agent #1 gen11 NN_MT3;Genetic Agent #0 gen11 NN_MT4;[4];[34]
12;Genetic Agent #2 gen12 NN_MT3;Genetic Agent #0 gen12 NN_MT4;[-1];[34]
13;Genetic Agent #18 gen13 NN_MT3;Genetic Agent #11 gen13 NN_MT4;[0];[36]
14;Genetic Agent #4 gen14 NN_MT3;Genetic Agent #9 gen14 NN_MT4;[-1];[34]
15;Genetic Agent #3 gen15 NN_MT3;Genetic Agent #11 gen15 NN_MT4;[-1];[34]
16;Genetic Agent #0 gen16 NN_MT3;Genetic Agent #11 gen16 NN_MT4;[-1];[34]
17;Genetic Agent #17 gen17 NN_MT3;Genetic Agent #11 gen17 NN_MT4;[1];[35]
18;Genetic Agent #19 gen18 NN_MT3;Genetic Agent #11 gen18 NN_MT4;[1];[35]
19;Genetic Agent #19 gen19 NN_MT3;Genetic Agent #10 gen19 NN_MT4;[1];[35]
20;Genetic Agent #19 gen20 NN_MT3;Genetic Agent #11 gen20 NN_MT4;[1];[35]
