step,depth,time
18,2,8.748980283737183
18,3,40.52947759628296
18,4,827.4749491214752
18,2,7.922002077102661
18,3,35.172268867492676
18,4,957.0184743404388
18,2,6.2350382804870605
18,3,27.27552342414856
18,4,429.3055510520935
20,2,3.956753730773926
20,3,17.325936555862427
20,4,217.70087051391602
22,2,1.9847285747528076
22,3,7.591848134994507
22,4,131.96459436416626
24,2,1.0144813060760498
24,3,3.7385263442993164
24,4,43.492722034454346
26,2,0.6449158191680908
26,3,2.278337001800537
26,4,14.719883441925049
26,5,37.532352685928345
26,6,138.19287490844727
26,7,236.34992909431458
26,8,517.7079010009766
28,2,0.3023223876953125
28,3,0.9040501117706299
28,4,3.4481918811798096
28,5,6.264639616012573
28,6,14.284394025802612
28,7,16.598832368850708
28,8,11.622562885284424
30,2,0.054284095764160156
30,3,0.10879826545715332
30,4,0.18807315826416016
30,5,0.12135028839111328
30,6,0.12267184257507324
30,7,0.1238248348236084
30,8,0.12227988243103027
32,2,0.01010894775390625
32,3,0.0065762996673583984
32,4,0.0065097808837890625
32,5,0.006525278091430664
32,6,0.0071527957916259766
32,7,0.006510257720947266
32,8,0.006996631622314453
18,2,7.2667076587677
18,3,65.4888346195221
18,2,4.812728643417358
18,3,16.7563636302948
18,4,311.28098583221436
20,2,3.058248281478882
20,3,11.97228455543518
20,4,207.5366358757019
22,2,2.0398519039154053
22,3,9.913977146148682
22,4,100.05804061889648
24,2,1.0896422863006592
24,3,3.624685764312744
24,4,32.854376792907715
24,5,83.14725375175476
24,6,494.40112686157227
26,2,0.57977294921875
26,3,3.4285738468170166
26,4,15.225422143936157
26,5,60.072026014328
26,6,165.4622745513916
28,2,0.24222564697265625
28,3,1.0976450443267822
28,4,4.081069469451904
28,5,14.263540744781494
28,6,17.379375457763672
30,2,0.07374453544616699
30,3,0.1780858039855957
30,4,0.36448121070861816
30,5,0.4496784210205078
30,6,0.3981282711029053
32,2,0.018498897552490234
32,3,0.03398561477661133
32,4,0.024076461791992188
32,5,0.024050474166870117
32,6,0.023888349533081055
34,2,0.0019979476928710938
34,3,0.002004384994506836
34,4,0.0009963512420654297
34,5,0.001999378204345703
34,6,0.0010004043579101562
18,2,7.420781850814819
18,3,26.262638092041016
18,4,612.4170219898224
20,2,4.757044553756714
20,3,18.795856475830078
20,4,605.0030562877655
22,2,2.8839635848999023
22,3,10.476872444152832
22,4,117.87763166427612
24,2,2.2375800609588623
24,3,8.27562952041626
24,4,89.04595160484314
24,5,356.6445128917694
24,6,2059.517431497574
26,2,1.2202973365783691
26,3,5.245130300521851
26,4,47.698466062545776
26,5,143.46854162216187
26,6,720.4472026824951
28,2,0.6864395141601562
28,3,2.2165632247924805
28,4,19.77154541015625
28,5,38.264421224594116
28,6,134.43567609786987
30,2,0.31107521057128906
30,3,0.8881423473358154
30,4,4.042638540267944
30,5,11.849232196807861
30,6,20.25969886779785
32,2,0.08546710014343262
32,3,0.2111666202545166
32,4,0.4654204845428467
32,5,0.5421690940856934
32,6,0.4916720390319824
34,2,0.018358469009399414
34,3,0.02731943130493164
34,4,0.0221099853515625
34,5,0.02275395393371582
34,6,0.022004365921020508
36,2,0.002000570297241211
36,3,0.0011475086212158203
36,4,0.0010008811950683594
36,5,0.0011205673217773438
36,6,0.0013115406036376953
18,2,8.105340242385864
18,3,36.16729211807251
18,4,1209.5664138793945
20,2,6.293002605438232
20,3,23.970369815826416
20,4,495.9222629070282
22,2,3.7980871200561523
22,3,13.067683696746826
22,4,220.84225058555603
24,2,1.7626421451568604
24,3,7.392857789993286
24,4,83.77705812454224
24,5,221.0324580669403
24,6,1829.3059689998627
